廃棄日,IPアドレス1,IP Address,,IPアドレス2,,IPアドレス3,IPアドレス4,IPアドレス5,IPアドレス6,IPアドレス7
,192.168.010.044,192.168.11.44,,192.168.011.044,,,,,,
,192.168.010.052,192.168.10.52,,192.168.011.052,,,,,,
,192.168.040.052,192.168.40.103,,192.168.040.103,,,,,,
,192.168.040.044,192.168.40.44,,192.168.040.102,,,,,,
,192.168.050.069,192.168.50.69,,,,,,,,
,192.168.090.030,192.168.90.30,,192.168.090.035,,,,,,
,192.168.120.063,192.168.120.125,,192.168.120.125,,,,,,
,192.168.040.048,192.168.40.112,,192.168.040.112,,,,,,
,192.168.040.054,192.168.40.114,,192.168.040.114,,,,,,
,192.168.070.040,192.168.70.40,,,,,,,,
,192.168.050.034,192.168.50.146,,,,,,,,
,192.168.020.090,192.168.20.147,,192.168.020.147,,,,,,
,192.168.010.134,192.168.11.134,,192.168.011.134,,,,,,
,192.168.010.140,192.168.11.140,,192.168.011.140,,,,,,
,192.168.060.054,192.168.60.143,,192.168.060.143,,,,,,
,192.168.080.099,192.168.80.43,,192.168.080.043,,,,,,
,192.168.080.098,192.168.80.60,,192.168.080.060,,,,,,
,192.168.090.145,192.168.90.145,,192.168.090.036,,,,,,
,192.168.040.051,192.168.40.51,,192.168.040.105,,,,,,
,192.168.050.054,192.168.50.149,,192.168.050.149,,,,,,
,192.168.020.046,192.168.20.46,,,,,,,,
,192.168.070.074,192.168.70.74,,,,,,,,
,192.168.070.073,192.168.70.73,,,,,,,,
,192.168.070.075,192.168.70.75,,,,,,,,
,192.168.070.076,192.168.70.76,,,,,,,,
,192.168.070.077,192.168.70.77,,,,,,,,
,192.168.070.091,192.168.70.170,,192.168.070.170,,,,,,
,192.168.010.062,192.168.11.62,,192.168.011.062,,,,,,
,192.168.020.088,192.168.20.141,,192.168.020.141,,,,,,
,192.168.010.072,192.168.11.72,,192.168.011.072,,,,,,
,192.168.010.073,192.168.11.73,,192.168.011.073,,,,,,
,192.168.010.153,192.168.11.153,,192.168.011.153,,,,,,
,192.168.010.143,192.168.11.143,,192.168.011.143,,,,,,
,192.168.010.155,192.168.11.155,,192.168.011.155,,192.168.080.187,,,,
,192.168.050.056,192.168.50.147,,192.168.060.141,,192.168.070.046,192.168.050.147,,,
,192.168.010.183,192.168.255.3,,192.168.011.183,,192.168.080.183,,,,
,192.168.010.184,192.168.11.184,,192.168.011.184,,192.168.080.184,,,,
,192.168.120.053,192.168.255.2,,192.168.120.118,,,,,,
,192.168.120.039,172.20.10.10,,192.168.120.119,,,,,,
,192.168.010.067,192.168.11.67,,192.168.011.067,,,,,,
,192.168.060.053,192.168.60.142,,192.168.060.142,,,,,,
,192.168.120.045,172.20.10.3,,192.168.120.120,,,,,,
,192.168.120.050,192.168.255.12,,192.168.120.121,,,,,,
,192.168.090.100,192.168.90.38,,192.168.090.038,,192.168.080.092,192.168.080.054,,,
,192.168.010.165,192.168.11.165,,192.168.011.165,,,,,,
,192.168.010.195,192.168.11.195,,192.168.011.195,,192.168.080.181,,,,
,192.168.010.213,192.168.11.213,,192.168.011.213,,192.168.080.165,192.168.070.165,192.168.060.165,192.168.090.165,
,192.168.010.090,192.168.255.6,,192.168.011.090,,,,,,
,192.168.020.098,192.168.20.166,,192.168.020.166,,,,,,
,192.168.120.036,192.168.120.36,,192.168.120.123,,,,,,
,192.168.060.061,192.168.1.30,,192.168.060.169,,,,,,
,192.168.020.079,192.168.20.162,,192.168.020.162,,,,,,
,192.168.020.062,192.168.20.163,,192.168.020.163,,,,,,
,192.168.010.076,192.168.10.76,,192.168.011.076,,192.168.070.047,192.168.070.175,192.168.080.177,192.168.090.042,192.168.020.117
,192.168.104.030,192.168.255.1,,192.168.120.110,,,,,,
,192.168.120.065,192.168.120.65,,192.168.120.127,,,,,,
,192.168.120.066,192.168.120.66,,192.168.120.128,,,,,,
,192.168.120.067,192.168.120.67,,192.168.120.129,,,,,,
,192.168.040.059,192.168.40.127,,192.168.040.127,,,,,,
,192.168.010.250,192.168.11.250,,192.168.011.250,,,,,,
,192.168.010.251,192.168.11.251,,192.168.011.251,,,,,,
,192.168.020.065,192.168.255.13,,192.168.020.142,,,,,,
,192.168.030.095,192.168.30.101,,192.168.030.101,,192.168.010.092,192.168.060.183,192.168.050.153,,
,192.168.080.101,192.168.80.71,,192.168.011.099,,192.168.010.099,192.168.080.071,,,
,192.168.20.106,192.168.20.106,,192.168.20.174,,,,,,
,192.168.120.069,172.20.10.3,,192.168.120.134,,,,,,
,192.168.020.108,192.168.20.176,,192.168.020.176,,,,,,
,192.168.020.109,192.168.20.177,,192.168.020.177,,,,,,
,192.168.020.111,192.168.255.1,,192.168.020.178,,,,,,
,192.168.060.057,192.168.60.147,,192.168.060.147,,,,,,
,192.168.050.063,192.168.50.155,,192.168.050.155,,,,,,
,192.168.050.087,192.168.50.156,,192.168.050.156,,,,,,
,192.168.020.044,192.168.20.116,,192.168.020.116,,,,,,
,192.168.120.048,192.168.120.112,,192.168.120.112,,,,,,
,192.168.010.191,192.168.11.191,,192.168.011.191,,,,,,
,192.168.010.144,192.168.11.144,,192.168.011.144,,192.168.080.171,192.168.080.057,,,
,192.168.010.171,192.168.11.171,,192.168.011.171,,,,,,
,192.168.010.166,192.168.11.166,,192.168.011.166,,192.168.070.166,192.168.060.166,192.168.080.166,192.168.020.166,192.168.090.166
,192.168.080.150,192.168.80.61,,192.168.080.061,,192.168.090.150,,,,
,192.168.090.116,192.168.90.59,,192.168.090.059,,,,,,
,192.168.080.131,192.168.80.131,,192.168.080.052,,,,,,
,192.168.010.033,192.168.80.72,,192.168.011.033,,192.168.080.132,192.168.080.072,,,
,192.168.080.118,192.168.80.77,,192.168.011.190,,192.168.010.190,192.168.080.077,,,
,192.168.010.030,192.168.11.30,,192.168.011.030,,192.168.070.044,192.168.070.220,192.168.080.201,192.168.090.049,192.168.020.118
,192.168.010.149,192.168.10.149,,192.168.011.149,,,,,,
,192.168.010.120,192.168.10.120,,192.168.011.120,,192.168.070.167,192.168.070.176,192.168.080.190,192.168.090.043,192.168.020.119
,192.168.010.215,192.168.11.215,,192.168.011.215,,192.168.070.071,,,,
,192.168.030.088,192.168.30.88,,192.168.030.104,,,,,,
,192.168.010.212,192.168.10.212,,192.168.011.212,,,,,,
,192.168.060.081,192.168.60.167,,192.168.060.167,,,,,,
,192.168.010.046,192.168.11.46,,192.168.011.046,,,,,,
,,192.168.255.9,,192.168.120.114,,,,,,
,192.168.010.037,192.168.10.37,,192.168.011.037,,,,,,
,192.168.120.040,192.168.120.115,,192.168.120.115,,,,,,
,,192.168.255.8,,192.168.120.101,,,,,,
,,192.168.120.132,,192.168.120.102,,,,,,
,192.168.010.159,192.168.11.159,,192.168.011.159,,192.168.080.164,192.168.080.074,192.168.070.155,,
,192.168.060.083,192.168.60.190,,192.168.060.190,,,,,,
,192.168.060.082,192.168.60.191,,192.168.060.191,,,,,,
,192.168.010.169,192.168.10.169,,192.168.011.169,,192.168.070.169,192.168.070.177,192.168.080.193,192.168.090.044,192.168.020.120
,192.168.010.038,192.168.10.38,,192.168.011.038,,,,,,
,192.168.010.186,192.168.11.186,,192.168.011.186,,,,,,
,192.168.010.174,192.168.11.174,,192.168.011.174,,,,,,
,192.168.080.104,192.168.80.73,,192.168.011.148,,192.168.010.148,192.168.080.073,,,
,192.168.030.084,192.168.30.84,,192.168.030.109,,,,,,
,192.168.010.036,192.168.11.36,,192.168.011.036,,,,,,
,192.168.120.038,192.168.120.116,,192.168.120.116,,,,,,
,192.168.090.113,192.168.90.34,,192.168.090.034,,,,,,
,192.168.080.102,192.168.255.1,,192.168.011.170,,192.168.010.170,192.168.080.058,,,
,192.168.060.093,192.168.60.116,,192.168.060.116,,,,,,
,192.168.060.092,192.168.60.115,,192.168.060.115,,,,,,
,192.168.060.060,192.168.60.182,,192.168.060.182,,,,,,
,192.168.080.119,192.168.80.225,,192.168.080.225,,,,,,
,192.168.050.103,192.168.50.103,,,,,,,,
,192.168.010.114,192.168.11.114,,192.168.011.114,,192.168.080.114,,,,
,192.168.050.032,192.168.50.32,,192.168.050.158,,,,,,
,192.168.040.055,192.168.40.55,,192.168.040.123,,,,,,
,192.168.070.050,192.168.70.50,,192.168.070.069,,,,,,
,192.168.010.177,192.168.11.177,,192.168.011.177,,,,,,
,192.168.010.051,192.168.11.51,,192.168.011.051,,,,,,
,192.168.020.111,192.168.20.111,,192.168.020.124,,,,,,
,192.168.020.058,192.168.20.161,,192.168.020.161,,,,,,
,192.168.020.059,192.168.20.164,,192.168.020.164,,,,,,
,192.168.080.108,192.168.11.40,,192.168.080.223,,192.168.010.040,192.168.011.040,,,
,192.168.040.041,192.168.40.119,,192.168.040.119,,,,,,
,192.168.040.043,192.168.40.43,,192.168.040.121,,,,,,
,192.168.040.042,192.168.40.120,,192.168.040.120,,,,,,
,192.168.080.133,192.168.80.133,,192.168.080.047,,,,,,
,192.168.080.142,192.168.80.142,,192.168.080.200,,,,,,
,192.168.080.205,192.168.80.205,,192.168.080.221,,,,,,
,192.168.080.206,192.168.80.206,,192.168.080.222,,,,,,
,192.168.030.076,192.168.30.76,,192.168.030.110,,,,,,
,192.168.040.056,192.168.255.4,,192.168.040.124,,,,,,
,192.168.040.057,192.168.40.57,,192.168.040.125,,,,,,
,192.168.010.032,192.168.11.32,,192.168.011.032,,192.168.080.209,,,,
,192.168.010.176,192.168.11.176,,192.168.011.176,,192.168.070.156,,,,
,192.168.010.154,192.168.11.154,,192.168.011.154,,192.168.070.172,,,,
,192.168.010.043,192.168.11.43,,192.168.011.043,,192.168.070.233,192.168.090.056,,,
,192.168.010.179,192.168.11.179,,192.168.011.179,,,,,,
,192.168.010.181,192.168.11.181,,192.168.011.181,,,,,,
,192.168.020.094,192.168.20.94,,192.168.020.159,,,,,,
,192.168.050.037,192.168.50.37,,,,,,,,
,192.168.050.077,192.168.50.77,,,,,,,,
,192.168.050.076,192.168.50.76,,,,,,,,
,192.168.050.033,192.168.50.33,,,,,,,,
,192.168.080.117,192.168.80.117,,,,,,,,
,192.168.050.102,192.168.50.102,,,,,,,,
,192.168.050.059,192.168.50.59,,,,,,,,
,192.168.050.104,192.168.50.104,,,,,,,,
,192.168.50.38,192.168.50.38,,,,,,,,
,192.168.090.107,192.168.90.10,,,,,,,,
,192.168.080.089,192.168.80.89,,192.168.080.065,,,,,,
,192.168.080.090,192.168.80.90,,192.168.080.045,,,,,,
,192.168.010.167,192.168.11.167,,192.168.011.167,,192.168.080.168,192.168.090.167,,,
,192.168.010.089,192.168.255.11,,192.168.011.089,,,,,,
,,192.168.255.5,,,,192.168.020.092,,,,
,192.168.050.091,192.168.50.91,,,,,,,,
,192.168.070.033,192.168.70.33,,192.168.070.216,,,,,,
,192.168.020.048,192.168.20.136,,192.168.020.136,,,,,,
,192.168.020.084,192.168.20.84,,192.168.020.143,,,,,,
,192.168.020.087,192.168.20.87,,192.168.020.139,,,,,,
,192.168.070.039,192.168.70.215,,192.168.070.215,,,,,,
,192.168.020.081,192.168.20.81,,192.168.020.135,,,,,,
,192.168.060.076,192.168.60.144,,192.168.060.144,,,,,,
,192.168.080.106,192.168.80.106,,192.168.080.109,,,,,,
,192.168.080.127,192.168.80.127,,192.168.080.062,,,,,,
,192.168.020.036,192.168.20.131,,192.168.020.131,,,,,,
,192.168.080.143,192.168.80.143,,192.168.080.067,,,,,,
,192.168.080.140,192.168.80.140,,192.168.080.084,,,,,,
,192.168.020.051,192.168.20.51,,192.168.020.179,,,,,,
,192.168.050.047,192.168.50.154,,192.168.050.154,,,,,,
,192.168.070.059,192.168.70.59,,192.168.070.219,,,,,,
,192.168.020.078,192.168.20.78,,192.168.020.180,,,,,,
,192.168.010.150,192.168.11.150,,192.168.011.150,,,,,,
,192.168.080.087,192.168.80.86,,192.168.080.086,,,,,,
,192.168.080.097,192.168.80.97,,192.168.080.059,,,,,,
,192.168.060.072,192.168.60.175,,192.168.060.175,,,,,,
,192.168.020.071,192.168.20.181,,192.168.020.181,,,,,,
,192.168.020.061,192.168.20.61,,192.168.020.132,,,,,,
,192.168.010.133,192.168.11.133,,192.168.011.133,,,,,,
,192.168.120.057,192.168.120.57,,192.168.120.113,,,,,,
,192.168.020.042,192.168.20.42,,192.168.020.167,,,,,,
,192.168.010.137,192.168.11.137,,192.168.011.137,,,,,,
,192.168.120.060,192.168.120.60,,192.168.120.122,,,,,,
,192.168.010.138,192.168.11.138,,192.168.011.138,,,,,,
,192.168.010.135,192.168.10.135,,192.168.011.135,,,,,,
,192.168.010.198,192.168.10.198,,,,,,,,
,192.168.080.146,192.168.80.146,,192.168.080.040,,,,,,
,192.168.010.042,192.168.11.42,,192.168.011.042,,,,,,
,192.168.080.149,192.168.80.149,,192.168.080.063,,,,,,
,192.168.080.152,192.168.80.152,,192.168.080.066,,,,,,
,192.168.060.063,192.168.60.172,,192.168.060.172,,,,,,
,192.168.010.035,192.168.11.35,,192.168.011.035,,,,,,
,192.168.010.057,192.168.11.57,,192.168.011.057,,,,,,
,192.168.010.199,192.168.10.199,,192.168.011.199,,,,,,
,192.168.070.048,192.168.70.178,,192.168.070.178,,192.168.060.037,,,,
,192.168.080.153,192.168.80.153,,192.168.080.042,,,,,,
,192.168.070.053,192.168.70.53,,192.168.070.094,,,,,,
,192.168.070.054,192.168.70.54,,192.168.070.095,,192.168.060.105,,,,
,192.168.010.164,192.168.11.164,,192.168.011.164,,,,,,
,192.168.080.163,192.168.80.163,,192.168.080.234,,,,,,
,192.168.020.055,192.168.20.127,,192.168.020.127,,,,,,
,192.168.020.045,192.168.20.45,,192.168.020.128,,,,,,
,192.168.020.033,192.168.20.134,,192.168.020.134,,,,,,
,192.168.060.071,192.168.60.173,,192.168.060.173,,,,,,
,192.168.090.108,192.168.90.108,,192.168.090.048,,,,,,
,192.168.010.185,192.168.11.185,,192.168.011.185,,,,,,
,192.168.010.156,192.168.10.156,,192.168.011.156,,192.168.080.189,192.168.070.189,192.168.090.156,192.168.060.189,
,192.168.020.031,192.168.20.31,,192.168.020.126,,,,,,
,192.168.010.146,192.168.11.146,,192.168.011.146,,,,,,
,192.168.020.040,192.168.20.137,,192.168.020.137,,,,,,
,192.168.070.049,192.168.70.96,,192.168.070.096,,192.168.060.038,,,,
,192.168.070.060,192.168.70.97,,192.168.070.097,,,,,,
,192.168.070.056,192.168.70.56,,192.168.070.098,,,,,,
,192.168.010.182,192.168.10.182,,192.168.011.182,,192.168.070.188,192.168.060.187,192.168.080.182,192.168.090.182,192.168.070.171
,192.168.090.124,192.168.90.124,,192.168.090.033,,,,,,
,192.168.060.068,192.168.60.176,,192.168.060.176,,,,,,
,192.168.020.037,192.168.20.125,,192.168.020.125,,,,,,
,192.168.020.057,192.168.20.57,,192.168.020.140,,,,,,
,192.168.090.125,192.168.90.40,,192.168.090.040,,192.168.080.174,,,,
,192.168.020.034,192.168.20.138,,192.168.020.138,,,,,,
,192.168.020.089,192.168.20.145,,192.168.020.145,,,,,,
,192.168.070.051,192.168.70.51,,192.168.070.187,,,,,,
,192.168.070.036,192.168.70.36,,192.168.070.217,,,,,,
,192.168.030.096,192.168.30.96,,192.168.030.103,,,,,,
,192.168.080.148,192.168.80.148,,192.168.080.050,,,,,,
,192.168.020.041,192.168.20.41,,192.168.020.144,,,,,,
,,,,,,,,,,
,192.168.050.084,192.168.255.7,,192.168.050.157,,,,,,
,192.168.070.035,192.168.70.35,,192.168.070.182,,,,,,
,192.168.070.045,192.168.70.45,,192.168.070.099,,,,,,
,192.168.070.032,192.168.70.32,,192.168.070.181,,,,,,
,192.168.060.069,192.168.60.174,,192.168.060.174,,,,,,
,192.168.060.062,192.168.60.129,,192.168.060.129,,,,,,
,192.168.060.088,192.168.60.88,,192.168.060.128,,,,,,
,192.168.080.154,192.168.80.233,,192.168.080.233,,192.168.090.105,,,,
,192.168.060.078,192.168.60.126,,192.168.060.126,,,,,,
,192.168.060.091,192.168.60.125,,192.168.060.125,,,,,,
,192.168.080.195,192.168.80.195,,192.168.080.041,,192.168.060.032,192.168.070.031,192.168.090.032,,
,192.168.080.128,192.168.80.128,,192.168.080.081,,,,,,
,192.168.090.106,192.168.90.106,,192.168.090.050,,,,,,
,192.168.060.067,192.168.60.127,,192.168.060.127,,,,,,
,192.168.070.061,192.168.70.221,,192.168.070.221,,,,,,
,192.168.060.046,192.168.60.46,,192.168.060.123,,,,,,
,192.168.070.057,192.168.70.57,,192.168.070.222,,,,,,
,192.168.060.077,192.168.60.122,,192.168.060.122,,,,,,
,192.168.080.147,192.168.80.147,,192.168.080.056,,192.168.090.184,,,,
,192.168.080.162,192.168.80.162,,192.168.080.082,,,,,,
,192.168.080.157,192.168.80.157,,192.168.080.083,,,,,,
,192.168.060.074,192.168.60.74,,192.168.011.152,,,,,,
,192.168.060.070,192.168.60.70,,192.168.060.120,,,,,,
,192.168.060.079,192.168.60.117,,192.168.060.117,,,,,,
,192.168.060.064,192.168.60.119,,192.168.060.119,,,,,,
,192.168.090.109,192.168.90.51,,192.168.090.051,,,,,,
,192.168.070.055,192.168.70.218,,192.168.070.218,,,,,,
,192.168.080.112,192.168.80.55,,192.168.080.055,,,,,,
,192.168.080.126,192.168.80.80,,192.168.080.080,,,,,,
,192.168.080.129,192.168.80.129,,192.168.080.078,,,,,,
,192.168.090.188,192.168.90.188,,,,192.168.010.079,,,,
,192.168.010.075,192.168.11.75,,192.168.011.075,,,,,,
,192.168.010.069,192.168.11.69,,192.168.011.069,,,,,,
,192.168.010.095,192.168.11.95,,192.168.011.095,,,,,,
,192.168.010.078,192.168.255.11,,192.168.011.078,,,,,,
,192.168.080.115,192.168.80.49,,192.168.011.115,,192.168.010.115,192.168.080.049,,,
,192.168.010.126,192.168.11.126,,192.168.011.126,,192.168.080.107,,,,
,192.168.010.131,192.168.11.131,,192.168.011.131,,192.168.080.198,192.168.080.076,,,
,192.168.010.110,192.168.10.110,,,,,,,,
,192.168.010.172,,,192.168.011.172,,192.168.080.172,,,,
,192.168.010.112,192.168.10.112,,192.168.011.112,,192.168.080.116,,,,
,192.168.010.048,192.168.10.48,,,,,,,,
,192.168.010.113,192.168.11.113,,192.168.011.113,,192.168.080.096,,,,
,192.168.050.099,192.168.50.99,,192.168.050.148,,,,,,
,192.168.010.047,192.168.11.47,,192.168.011.047,,192.168.080.188,,,,
,192.168.060.047,192.168.60.140,,192.168.060.140,,,,,,
,,192.168.50.132,,192.168.050.132,,,,,,
,,192.168.50.133,,192.168.050.133,,,,,,
,,192.168.50.134,,192.168.050.134,,,,,,
,,192.168.50.135,,192.168.050.135,,,,,,
,,192.168.50.131,,192.168.050.131,,,,,,
,192.168.080.105,192.168.80.105,,192.168.080.085,,,,,,
,,192.168.50.159,,192.168.050.159,,,,,,
,,192.168.50.162,,192.168.050.162,,,,,,
,,192.168.50.161,,192.168.050.161,,,,,,
,,192.168.50.160,,192.168.050.160,,,,,,
,,192.168.60.33,,192.168.060.033,,,,,,
,,192.168.60.34,,192.168.060.034,,,,,,
,,192.168.60.35,,192.168.060.035,,,,,,
,,192.168.60.44,,192.168.060.044,,,,,,
,,192.168.60.45,,192.168.060.045,,,,,,
,,192.168.60.52,,192.168.060.052,,,,,,
,,192.168.60.84,,192.168.060.084,,,,,,
,,192.168.255.6,,192.168.060.089,,,,,,
,,192.168.255.3,,192.168.050.164,,,,,,
,,192.168.100.206,,192.168.050.163,,,,,,
,,192.168.60.75,,192.168.060.075,,,,,,
,,192.168.50.151,,192.168.050.151,,,,,,
,,192.168.50.152,,192.168.050.152,,,,,,
,,192.168.60.146,,192.168.060.146,,,,,,
,192.168.050.052,192.168.50.142,,,,,,,,
,192.168.050.053,192.168.50.143,,,,,,,,
,,,,,,,,,,
,192.168.070.157,192.168.70.157,,,,,,,,
,192.168.070.158,192.168.70.158,,,,,,,,
,192.168.070.159,192.168.70.159,,,,,,,,
,192.168.070.160,192.168.70.160,,,,,,,,
,192.168.070.161,192.168.70.161,,,,,,,,
,192.168.070.162,192.168.70.162,,,,,,,,
,192.168.070.163,192.168.70.163,,,,,,,,
,192.168.070.164,192.168.70.164,,,,,,,,
,192.168.070.090,192.168.70.90,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,192.168.050.051,192.168.50.51,,,,,,,,
,192.168.020.047,192.168.20.47,,,,,,,,
,192.168.080.159,192.168.80.159,,,,,,,,
,192.168.080.121,192.168.80.121,,,,,,,,
,192.168.050.040,192.168.50.40,,,,,,,,
,192.168.020.060,192.168.20.60,,,,,,,,
,192.168.060.065,192.168.60.65,,,,,,,,
,192.168.050.082,192.168.50.82,,,,,,,,
,192.168.050.068,192.168.50.68,,,,,,,,
,192.168.050.073,192.168.50.73,,,,,,,,
,192.168.010.059,192.168.10.59,,,,,,,,
,192.168.020.074,192.168.20.74,,,,,,,,
,192.168.020.073,192.168.20.73,,,,,,,,
,192.168.020.053,192.168.20.112,,,,,,,,
,192.168.010.082,192.168.10.82,,,,,,,,
,192.168.020.075,192.168.20.75,,,,,,,,
,192.168.010.034,192.168.10.34,,,,,,,,
,192.168.050.044,192.168.50.44,,,,,,,,
,192.168.020.054,192.168.20.54,,,,,,,,
,192.168.050.085,192.168.50.85,,,,,,,,
,192.168.060.030,192.168.60.30,,,,,,,,
,192.168.060.031,192.168.60.31,,,,,,,,
,192.168.060.056,192.168.60.56,,,,,,,,
,192.168.090.104,192.168.90.104,,,,,,,,
,192.168.050.100,192.168.50.100,,,,,,,,
,192.168.050.065,192.168.50.65,,,,,,,,
,192.168.050.089,192.168.50.89,,,,,,,,
,192.168.090.064,192.168.90.64,,,,,,,,
,192.168.050.083,192.168.50.83,,,,,,,,
,192.168.050.072,192.168.50.72,,,,,,,,
,192.168.050.067,192.168.50.67,,,,,,,,
,192.168.050.043,192.168.50.43,,,,,,,,
,192.168.090.118,192.168.90.118,,,,,,,,
,192.168.050.042,192.168.50.42,,,,,,,,
,192.168.060.103,192.168.60.103,,,,,,,,
,192.168.060.066,192.168.60.66,,,,,,,,
,192.168.090.179,192.168.90.179,,,,,,,,
,192.168.050.035,192.168.50.35,,,,,,,,
,192.168.050.088,192.168.50.88,,,,,,,,
,192.168.050.041,192.168.50.41,,,,,,,,
,192.168.050.070,192.168.50.70,,,,,,,,
,192.168.050.048,192.168.50.48,,,,,,,,
,192.168.090.103,192.168.90.103,,,,,,,,
,192.168.050.081,192.168.50.81,,,,,,,,
,192.168.050.078,192.168.50.78,,,,,,,,
,192.168.050.080,192.168.50.80,,,,,,,,
,192.168.090.187,192.168.90.187,,,,,,,,
,192.168.090.115,192.168.90.115,,,,,,,,
,192.168.050.075,192.168.50.75,,,,,,,,
,192.168.050.55,192.168.50.55,,,,,,,,
,192.168.030.086,192.168.30.86,,,,,,,,
,192.168.030.097,192.168.30.97,,,,,,,,
,192.168.050.061,192.168.50.61,,,,,,,,
,192.168.050.039,192.168.50.39,,,,,,,,
